suite,mode,backend,kernel,n,block_size,divergence_degree,iterations,elapsed_ms,threads_launched,elements_per_thread,useful_ops,throughput_gops,gflops_est,slowdown_vs_uniform,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
compute,divergence-gpu,gpu,divergent,131072,256,4,512,0.37300480008125303,131072,1.0,536870912,1439.3136814406985,1439.3136814406985,2.9202324647950104,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,256,8,512,0.6838527917861938,131072,1.0,536870912,785.0679538760329,785.0679538760329,5.35384296202014,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,256,16,512,1.2969151973724364,131072,1.0,536870912,413.95992050035807,413.95992050035807,10.153472187564388,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,256,32,512,2.5252992153167724,131072,1.0,536870912,212.59695039055214,212.59695039055214,19.770417834523837,4,32,32,1.0,,,
compute,uniform,gpu,uniform,131072,512,1,512,0.13220479786396028,131072,1.0,536870912,4060.903391361365,4060.903391361365,1.0,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,512,2,512,0.22902400195598602,131072,1.0,536870912,2344.1687657836674,2344.1687657836674,1.7323425901051899,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,512,4,512,0.3939072132110596,131072,1.0,536870912,1362.937498969685,1362.937498969685,2.9795228280322554,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,512,8,512,0.6345152020454407,131072,1.0,536870912,846.1119769381854,846.1119769381854,4.799486949772893,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,512,16,512,1.2040832042694092,131072,1.0,536870912,445.87526019495664,445.87526019495664,9.107711851035996,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,512,32,512,2.344000005722046,131072,1.0,536870912,229.04049090845555,229.04049090845555,17.730067619285947,2,32,32,1.0,,,
compute,uniform,gpu,uniform,131072,1024,1,512,0.1208191990852356,131072,1.0,536870912,4443.589396923978,4443.589396923978,1.0,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,1024,2,512,0.20696960091590882,131072,1.0,536870912,2593.960222294332,2593.960222294332,1.713052250660061,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,1024,4,512,0.3493759989738464,131072,1.0,536870912,1536.6565350134115,1536.6565350134115,2.8917258318139356,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,1024,8,512,0.6746431946754455,131072,1.0,536870912,795.7849663899382,795.7849663899382,5.58390719176592,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,1024,16,512,1.2120575904846191,131072,1.0,536870912,442.9417514602932,442.9417514602932,10.031994911914092,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,1024,32,512,2.3533440113067625,131072,1.0,536870912,228.1310804627696,228.1310804627696,19.478228866974394,1,32,32,1.0,,,
compute,uniform,gpu,uniform,262144,32,1,512,0.1862720012664795,262144,1.0,1073741824,5764.375841240423,5764.375841240423,1.0,16,16,32,0.5,,,
