suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,strided,strided,131072,131072,4194304,32,4,0.10736640095710755,524288,524288,0,1048576,9.766332769400568,9.766332769400568,495.0,1.9729965190708219,0.125,16,16,32,0.5,,,
memory,strided,strided,131072,131072,4194304,32,8,0.36862719655036924,524288,524288,0,1048576,2.8445432399253874,2.8445432399253874,495.0,0.5746551999849268,0.125,16,16,32,0.5,,,
memory,strided,strided,131072,131072,4194304,32,16,0.6544575929641724,524288,524288,0,1048576,1.6022061800074543,1.6022061800074543,495.0,0.3236780161631221,0.125,16,16,32,0.5,,,
memory,strided,strided,131072,131072,4194304,32,32,0.7902655959129333,524288,524288,0,1048576,1.326865303795315,1.326865303795315,495.0,0.2680535967263263,0.125,16,16,32,0.5,,,
memory,random_gather,random_gather,131072,131072,4194304,32,0,0.7598335981369019,524288,524288,524288,1572864,2.070011123299409,2.070011123299409,495.0,0.41818406531301194,0.08333333333333333,16,16,32,0.5,,,
memory,coalesced,coalesced,131072,131072,4194304,64,1,0.07926400005817413,524288,524288,0,1048576,13.22890592488923,13.22890592488923,495.0,2.6725062474523695,0.125,16,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,64,1,0.0831488013267517,524288,524288,0,1048576,12.61083723720066,12.61083723720066,495.0,2.5476438863031636,0.125,16,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,64,2,0.111353600025177,524288,524288,0,1048576,9.416633137706526,9.416633137706526,495.0,1.9023501288296014,0.125,16,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,64,4,0.10668799877166749,524288,524288,0,1048576,9.828434426295232,9.828434426295232,495.0,1.9855423083424713,0.125,16,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,64,8,0.4178111970424652,524288,524288,0,1048576,2.5096886043803788,2.5096886043803788,495.0,0.507007798864723,0.125,16,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,64,16,0.7342720031738281,524288,524288,0,1048576,1.428048455432891,1.428048455432891,495.0,0.2884946374611901,0.125,16,32,32,1.0,,,
